date,code,open,high,low,close,preclose,volume,amount,pctChg
2019-05-06,sh.600519,925.5000,935.0000,893.0000,906.0000,974.0000,13509968,12299395806.0000,-6.981520
2019-05-07,sh.600519,893.2800,913.9400,870.2200,890.0000,906.0000,10083726,9045117765.0000,-1.766004
2019-05-08,sh.600519,860.0000,901.8000,860.0000,884.4000,890.0000,8188298,7217709507.0000,-0.629211
2019-05-09,sh.600519,875.0000,879.8700,842.5000,858.8100,884.4000,9154515,7863312116.0000,-2.893490
2019-05-10,sh.600519,875.6600,910.7800,868.1900,907.1200,858.8100,7990738,7121198718.0000,5.625225
2019-05-13,sh.600519,898.8600,910.9800,884.0000,892.0000,907.1200,4663718,4179329433.0000,-1.666813
2019-05-14,sh.600519,885.0000,906.0000,873.0000,886.5700,892.0000,5998312,5349455647.0000,-0.608744
2019-05-15,sh.600519,890.2400,933.0000,890.2400,927.0000,886.5700,6312425,5778791845.0000,4.560271
2019-05-16,sh.600519,919.0000,932.0000,905.0000,929.9100,927.0000,4454012,4108281950.0000,0.313913
2019-05-17,sh.600519,927.0200,932.3000,900.1000,906.7900,929.9100,4984161,4551116799.0000,-2.486262
2019-05-20,sh.600519,900.0000,900.0000,871.0000,884.9600,906.7900,4440799,3931645928.0000,-2.407388
2019-05-21,sh.600519,885.0000,910.0000,872.0200,895.0000,884.9600,4238565,3791406204.0000,1.134512
2019-05-22,sh.600519,894.9800,904.0000,880.0000,888.0000,895.0000,3204158,2853872828.0000,-0.782123
2019-05-23,sh.600519,881.0000,883.9800,856.2200,861.0000,888.0000,5805863,5062812286.0000,-3.040541
2019-05-24,sh.600519,865.0000,885.0000,864.4400,878.5000,861.0000,4403409,3858962204.0000,2.032520
2019-05-27,sh.600519,879.1000,882.9900,860.0500,879.0000,878.5000,3916191,3417213669.0000,0.056915
2019-05-28,sh.600519,877.9900,907.4900,875.0200,888.0000,879.0000,7477277,6670856081.0000,1.023891
2019-05-29,sh.600519,888.0100,924.9500,888.0100,911.9100,888.0000,6564696,5963755397.0000,2.692564
2019-05-30,sh.600519,910.0000,919.9900,891.2200,905.3000,911.9100,4024720,3634187681.0000,-0.724851
2019-05-31,sh.600519,900.5300,906.9900,890.0000,890.0000,905.3000,3579380,3211384923.0000,-1.690046
2019-06-03,sh.600519,892.0000,901.3500,886.2800,892.0000,890.0000,3447924,3076922330.0000,0.224719
2019-06-04,sh.600519,895.0000,895.4300,871.0000,875.3000,892.0000,3968948,3481384251.0000,-1.872199
2019-06-05,sh.600519,884.0000,886.2600,870.0000,871.6000,875.3000,3406736,2988114670.0000,-0.422714
2019-06-06,sh.600519,875.6200,875.7700,858.0000,862.1300,871.6000,3478685,3009567792.0000,-1.086504
2019-06-10,sh.600519,857.9800,878.9500,840.0000,871.0800,862.1300,5550246,4790052574.0000,1.038128
2019-06-11,sh.600519,876.0000,915.6100,875.0000,910.8900,871.0800,8010644,7209086880.0000,4.570189
2019-06-12,sh.600519,906.2200,910.9900,894.0000,906.7000,910.8900,3774740,3420899273.0000,-0.459990
2019-06-13,sh.600519,910.0000,912.3000,897.0000,910.0000,906.7000,3291742,2984741685.0000,0.363956
2019-06-14,sh.600519,911.0000,932.3000,910.0200,913.0000,910.0000,4245504,3905679105.0000,0.329670
2019-06-17,sh.600519,907.0000,926.9400,906.0200,911.6000,913.0000,3276903,3001512189.0000,-0.153343
2019-06-18,sh.600519,917.0000,920.0000,902.6000,917.0000,911.6000,2944138,2687679912.0000,0.592368
2019-06-19,sh.600519,940.0000,946.7000,932.0100,932.0100,917.0000,5372640,5051192622.0000,1.636860
2019-06-20,sh.600519,932.5000,975.5000,932.2000,975.0000,932.0100,6727197,6468666073.0000,4.612610
2019-06-21,sh.600519,969.9700,984.4900,964.5000,976.3000,975.0000,4592675,4482726902.0000,0.133332
2019-06-24,sh.600519,978.3000,999.6900,975.0000,987.1000,976.3000,4577920,4532526991.0000,1.106216
2019-06-25,sh.600519,992.0000,999.0000,967.0000,982.9800,987.1000,5129595,5035624420.0000,-0.417384
2019-06-26,sh.600519,985.0000,985.0000,971.2200,979.8600,982.9800,2958818,2896585581.0000,-0.317402
2019-06-27,sh.600519,985.0000,1001.0000,981.1200,996.3500,979.8600,4797845,4772724089.0000,1.682892
2019-06-28,sh.600519,985.9900,988.8800,971.3300,984.0000,981.8100,3108840,3050739277.0000,0.223058
